工号,层级,物料编码,物料描述,批次,特性值
Z161264410,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264412,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264412,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264412,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264422,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264422,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264436,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264436,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264436,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264442,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264442,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264442,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264444,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264444,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264444,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264445,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264445,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264445,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264469,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264469,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264469,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264478,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264478,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
