"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"19G035176-B03-01","MCA-Ⅱ-1050-CO90","Z161267885","立柱组合","1","2019/6/9 0:00","2019/6/6","2","10","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"17G077693-B03-01","HGP-S-1050-CO105","Z161267909","立柱组合","1","2019/6/9 0:00","2019/6/6","1","58","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G109960-B03-01","HGE-Ⅲ-1050-CO105","Z161267909","立柱组合","1","2019/6/9 0:00","2019/6/6","2","33","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G072674-B03-01","HGE-Ⅲ-1050-CO90","Z161267839","立柱组合","1","2019/6/9 0:00","2019/6/6","2","26","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"17G062282-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","2","24","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G089233-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","2","25","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G082616-B03-01","LGE-450-CO60","Z161268212","立柱组合","1","2019/6/9 0:00","2019/6/6","1","26","","","",""
"18G082614-B03-01","LGE-450-CO60","Z161268212","立柱组合","1","2019/6/9 0:00","2019/6/6","2","73","","","",""
"18G052590-B03-01","MCA-Ⅱ-1050-2S120","Z161268892","立柱组合","1","2019/6/9 0:00","2019/6/6","1","61","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G052586-B03-01","MCA-Ⅱ-1050-2S120","Z161268892","立柱组合","1","2019/6/9 0:00","2019/6/6","2","36","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G052588-B03-01","MCA-Ⅱ-1050-2S120","Z161268892","立柱组合","1","2019/6/9 0:00","2019/6/6","1","62","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G039250-B03-01","MCA-Ⅱ-1050-CO150","Z161267875","立柱组合","1","2019/6/9 0:00","2019/6/6","2","34","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G082613-B03-01","LGE-450-CO60","Z161268212","立柱组合","1","2019/6/9 0:00","2019/6/6","1","27","","","",""
"18G057560-B03-01","LGE-825-CO60","Z161266475","立柱组合","1","2019/6/9 0:00","2019/6/6","2","58","","","",""
"17G002845-B03-01","LGE-825-CO60","Z161266853","立柱组合","1","2019/6/9 0:00","2019/6/6","2","70","","","",""
"18G118992-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","2","65","","","",""
"18G012425-B03-01","LCA-Ⅱ-1050-CO105","Z161266625","立柱组合","1","2019/6/9 0:00","2019/6/6","2","66","","","",""
